<pre>
# ---------------------------
  code ; shortcut ; reference
# ---------------------------
  2.00 ; BC   ; Brown, R.T. and Cortez, J.-L.M. 1972, ApJ 176, 267-270.
  2.00 ; K    ; Kurucz unpublished extrapolations.  1975?
  2.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  3.00 ; CAVE ; Caves, T.C. 1975, JQSRT, 15, 439.
  3.00 ; LN   ; Lindgard, A. AND Nielsen, S.E. 1977, Atomic Data and Nuclear Data Tables, 19, 533.
  3.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  3.00 ; SEN  ; Sengupta, S. 1975, JQSRT 12, 1539.
  3.01 ; LAU  ; Laughlin, C. 1978, J. Phys. B 11, l391.
  3.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  4.00 ; LCV  ; Laughlin, C., Constantinides, E.R., and Victor, G.A. 1978, J. Phys. B 11, 2243.
  4.00 ; LV   ; Laughlin, C, and Victor, G.A. 1974, ApJ 192, 551.
  4.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  4.00 ; PST  ; Pfennig, H., Steele, R., and Trefftz, E. 1965, JQSRT, 5, 335.
  4.01 ; BIE  ; Biemont, E. 1977, A&A Supp, 27, 489.
  4.01 ; LN   ; Lindgard, A. AND Nielsen, S.E. 1977, Atomic Data and Nuclear Data Tables, 19, 533.
  4.01 ; SEN  ; Sengupta, S. 1975, JQSRT 12, 1539.
  4.02 ; BPS  ; Bromander, J., Poulsen, O., Subtil, J.L. 1973, Phys. Scripta 7, 283.
  4.02 ; LAU  ; Laughlin, C. 1978, J. Phys. B 11, l391.
  4.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  5.00 ; BRO  ; Bromander, J. 1971, Phys. Scripta 4, 61.
  5.00 ; GUES ; Guess  multiplet table indicates that a line is present.
  5.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  5.00 ; MBO  ; Martinson, I., Bickel, W., Olme, A. 1970, JOSA 60, 1213.
  5.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  5.01 ; BRO  ; Bromander, J. 1971, Phys. Scripta 4, 61.
  5.01 ; CJ   ; Cheng, K.T. AND Johnson, W.R. 1977, Phys. Rev. A 1326-1329.
  5.01 ; HIB  ; Hibbert, A. 1974, J. Phys. B 7, 1974.
  5.01 ; LCV  ; Laughlin, C., Constantinides, E.R., and Victor, G.A. 1978, J. Phys. B 11, 2243.
  5.01 ; MBO  ; Martinson, I., Bickel, W., Olme, A. 1970, JOSA 60, 1213.
  5.02 ; LN   ; Lindgard, A. AND Nielsen, S.E. 1977, Atomic Data and Nuclear Data Tables, 19, 533.
  5.02 ; SEN  ; Sengupta, S. 1975, JQSRT 12, 1539.
  5.03 ; DRA  ; Drake, G.W.F. 1979, Phys. Rev. A 19, 1387.
  5.03 ; MBO  ; Martinson, I., Bickel, W., Olme, A. 1970, JOSA 60, 1213.
  5.03 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  6.00 ; BDEL ; Bromander, J., Duric, N., Erman, P., and Larsson, M. 1978, Phys. Scripta, 17, 119.
  6.00 ; BROM ; Bromander, J. 1971, Phys. Scripta 4, 61.
  6.00 ; BRS  ; Brooks, N.H., Rohrlich, D., and Smith, W.H. 1977, ApJ 214, 328.
  6.00 ; CM   ; Cohen, M. and McEachran, R.P. 1978, JQSRT 20, 295.
  6.00 ; EXTR ; extrapolated series
  6.00 ; GOLY ; Goly, A. 1976, A&A 52, 43.
  6.00 ; GUES ; Guess  multiplet table indicates that a line is present.
  6.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  6.00 ; LAMB ; Lambert, D.L. 1968, MNRAS 138, 143.
  6.00 ; MS   ; Morton, D.C. and Smith, W.H. 1973, ApJ Supp. 26, 333.
  6.00 ; MWRB ; Miller, M.H., Wilkerson, T.D., Roig, R.A., and Bengston, R.D. 1974, Phys. Rev. A 9, 2312.
  6.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  6.00 ; NUSS ; Nussbaumer, H. and Rusca, C. 1979, A&A, 72, 129-133.
  6.00 ; SMW  ; Smith, M.W. and Wiese, W.L. 1971, Ap.J.Supp., 23, 103.
  6.00 ; SW   ; Stuck, D. and Wende, B. 1974, Phys. Rev. A 9, 1-8.
  6.01 ; BRO  ; Bromander, J. 1971, Phys. Scripta 4, 61.
  6.01 ; CHY  ; Cowan, R.D., Hobbs, L.M., and York, D.G. 1982, 257, 373-375.
  6.01 ; DPD2 ; Druetta, M., Poulizac, M.C., and Desequelles, J. 1970, JOSA 60, 1463.  
  6.01 ; GUES ; Guess  multiplet table indicates that a line is present.
  6.01 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  6.01 ; LD   ; Laughlin, C. and Dalgarno, A. 1973, Phys. Rev. A 8, 39.
  6.01 ; MC   ; McEachran, R.P., and Cohen, M. 1971, JQSRT, 11, 1819.
  6.01 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  6.01 ; PDC  ; Poulizac, M.C., Druetta, M., and Ceyzerat, P. 1971, JQSRT 11, 81.
  6.01 ; SIN  ; Sinanoglu, O. 1973, Nuclear. Inst. and Methods. 110, 193.
  6.02 ; CHY  ; Cowan, R.D., Hobbs, L.M., and York, D.G. 1982, 257, 373-375.
  6.02 ; FT   ; Friedrich, H. and Trefftz, E. 1969, MPI-PAE/Astro 29.
  6.02 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
  6.02 ; NS   ; Nussbaumer, H. and Storey, P.J. 1978, A&A 64, 139.
  6.03 ; WAR  ; Warner, B. 1968, MNRAS 141, 273.
  7.00 ; BRS  ; Brooks, N.H., Rohrlich, D., and Smith, W.H. 1977, ApJ 214, 328.
  7.00 ; DBG  ; Dumont, P.D., Biemont, E., Grevesse, N. 1974, JQSRT 14, 1127.
  7.00 ; GUES ; Guess  multiplet table indicates that a line is present.
  7.00 ; KP   ; Kurucz, R.L. and Peytremann, E. 1975, SAO Special Report 362.
  7.00 ; NBS  ; Wiese, W.L., Smith, M.W., and Glennon, B.M. 1966, NSRDS-NBS 4.
